FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=2135855225/api=apps/v1//Deployment/argo-rollouts-dashboard,High,Writable hostPath mount,0,1,1.0
path=2135855225/api=apps/v1//Deployment/argo-rollouts-dashboard,High,Insecure capabilities,0,1,1.0
path=95755722/api=apps/v1//Deployment/argocd-dex-server,High,Writable hostPath mount,0,1,1.0
path=95755722/api=apps/v1//Deployment/argocd-dex-server,High,Insecure capabilities,0,1,1.0
path=2651863589/api=apps/v1//Deployment/details-v1,High,Writable hostPath mount,0,1,1.0
path=2651863589/api=apps/v1//Deployment/details-v1,High,Insecure capabilities,0,1,1.0
path=4082648555/api=apps/v1//Deployment/ratings-v2-mysql-vm,High,Writable hostPath mount,0,1,1.0
path=4082648555/api=apps/v1//Deployment/ratings-v2-mysql-vm,High,Insecure capabilities,0,1,1.0
path=3525203366/api=apps/v1//Deployment/argocd-redis,High,Writable hostPath mount,0,1,1.0
path=3525203366/api=apps/v1//Deployment/argocd-redis,High,Insecure capabilities,0,1,1.0
path=384162807/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=384162807/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=1548119433/api=apps/v1/monitoring/DaemonSet/node-exporter,High,Writable hostPath mount,1,1,0.0
path=1548119433/api=apps/v1/monitoring/DaemonSet/node-exporter,High,Insecure capabilities,0,1,1.0
path=466118493/api=apps/v1/mongodb/Deployment/mongodb-enterprise-operator-multi-cluster,High,Writable hostPath mount,0,1,1.0
path=466118493/api=apps/v1/mongodb/Deployment/mongodb-enterprise-operator-multi-cluster,High,Insecure capabilities,0,1,1.0
path=1105456539/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=1105456539/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=2695841342/api=apps/v1//Deployment/helloworld-v2,High,Writable hostPath mount,0,1,1.0
path=2695841342/api=apps/v1//Deployment/helloworld-v2,High,Insecure capabilities,0,1,1.0
path=2390541248/api=apps/v1/kubeeye-system/Deployment/kubeeye-controller-manager,High,Writable hostPath mount,0,1,1.0
path=2390541248/api=apps/v1/kubeeye-system/Deployment/kubeeye-controller-manager,High,Insecure capabilities,0,1,1.0
path=2064232107/api=apps/v1//Deployment/event-tracker,High,Writable hostPath mount,0,1,1.0
path=2064232107/api=apps/v1//Deployment/event-tracker,High,Insecure capabilities,0,1,1.0
path=2179591592/api=apps/v1//Deployment/tornado,High,Writable hostPath mount,0,1,1.0
path=2179591592/api=apps/v1//Deployment/tornado,High,Insecure capabilities,0,1,1.0
path=2720317831/api=apps/v1//Deployment/reviews-v2,High,Writable hostPath mount,0,1,1.0
path=2720317831/api=apps/v1//Deployment/reviews-v2,High,Insecure capabilities,0,1,1.0
path=3643209822/api=apps/v1/sock-shop/Deployment/payment,High,Writable hostPath mount,0,1,1.0
path=3643209822/api=apps/v1/sock-shop/Deployment/payment,High,Insecure capabilities,0,1,1.0
path=3540149141/api=apps/v1/echo-grpc/Deployment/echo-v1,High,Writable hostPath mount,0,1,1.0
path=3540149141/api=apps/v1/echo-grpc/Deployment/echo-v1,High,Insecure capabilities,0,1,1.0
path=2534420256/api=apps/v1//Deployment/ratings-v1,High,Writable hostPath mount,0,1,1.0
path=2534420256/api=apps/v1//Deployment/ratings-v1,High,Insecure capabilities,0,1,1.0
path=483415584/api=apps/v1/system/Deployment/kuberay-operator,High,Writable hostPath mount,0,1,1.0
path=483415584/api=apps/v1/system/Deployment/kuberay-operator,High,Insecure capabilities,0,1,1.0
path=3034096447/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=3034096447/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=1560064703/api=apps/v1/kuma-system/StatefulSet/controller-manager,High,Writable hostPath mount,0,1,1.0
path=1560064703/api=apps/v1/kuma-system/StatefulSet/controller-manager,High,Insecure capabilities,0,1,1.0
path=1554906090/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=1554906090/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=2804119554/api=apps/v1/sock-shop/Deployment/queue-master,High,Writable hostPath mount,0,1,1.0
path=2804119554/api=apps/v1/sock-shop/Deployment/queue-master,High,Insecure capabilities,0,1,1.0
path=356941672/api=apps/v1/spire/Deployment/spire-server,High,Writable hostPath mount,0,1,1.0
path=356941672/api=apps/v1/spire/Deployment/spire-server,High,Insecure capabilities,0,1,1.0
path=1639090594/api=apps/v1//Deployment/jaeger-operator,High,Writable hostPath mount,0,1,1.0
path=1639090594/api=apps/v1//Deployment/jaeger-operator,High,Insecure capabilities,0,1,1.0
path=2530409045/api=apps/v1//Deployment/litmusportal-server,High,Writable hostPath mount,0,1,1.0
path=2530409045/api=apps/v1//Deployment/litmusportal-server,High,Insecure capabilities,0,1,1.0
path=3692979556/api=apps/v1//Deployment/argocd-server,High,Writable hostPath mount,0,1,1.0
path=3692979556/api=apps/v1//Deployment/argocd-server,High,Insecure capabilities,0,1,1.0
path=4083476316/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=4083476316/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=3502850311/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=3502850311/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=2182791567/api=apps/v1/metallb-system/Deployment/controller,High,Writable hostPath mount,0,1,1.0
path=2182791567/api=apps/v1/metallb-system/Deployment/controller,High,Insecure capabilities,0,1,1.0
path=3669454173/api=apps/v1//Deployment/podinfo,High,Writable hostPath mount,0,1,1.0
path=3669454173/api=apps/v1//Deployment/podinfo,High,Insecure capabilities,0,1,1.0
path=1430983905/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=1430983905/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=1328516312/api=batch/v1/kong/Job/kong-migrations,High,Writable hostPath mount,0,1,1.0
path=1328516312/api=batch/v1/kong/Job/kong-migrations,High,Insecure capabilities,0,1,1.0
path=1141588598/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=1141588598/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=3185723430/api=/v1/default/Pod/ray-client-tls,High,Writable hostPath mount,0,1,1.0
path=3185723430/api=/v1/default/Pod/ray-client-tls,High,Insecure capabilities,0,1,1.0
path=1542968211/api=apps/v1/kong/Deployment/proxy-kong,High,Writable hostPath mount,0,1,1.0
path=1542968211/api=apps/v1/kong/Deployment/proxy-kong,High,Insecure capabilities,0,1,1.0
path=3578992312/api=apps/v1/monitoring-system/Deployment/vm-operator,High,Writable hostPath mount,0,1,1.0
path=3578992312/api=apps/v1/monitoring-system/Deployment/vm-operator,High,Insecure capabilities,0,1,1.0
path=2418463414/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=2418463414/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=939498921/api=apps/v1/kube-system/DaemonSet/calico-node,High,Writable hostPath mount,1,1,0.0
path=939498921/api=apps/v1/kube-system/DaemonSet/calico-node,High,Insecure capabilities,0,1,1.0
path=4180005717/api=apps/v1/litmus/Deployment/chaos-exporter,High,Writable hostPath mount,0,1,1.0
path=4180005717/api=apps/v1/litmus/Deployment/chaos-exporter,High,Insecure capabilities,0,1,1.0
path=2936242914/api=apps/v1//Deployment/event-tracker,High,Writable hostPath mount,0,1,1.0
path=2936242914/api=apps/v1//Deployment/event-tracker,High,Insecure capabilities,0,1,1.0
path=3046699264/api=apps/v1/default/Deployment/longhorn-test-cifs,High,Writable hostPath mount,0,1,1.0
path=3046699264/api=apps/v1/default/Deployment/longhorn-test-cifs,High,Insecure capabilities,1,1,0.0
path=195255574/api=apps/v1/sock-shop/Deployment/user-load,High,Writable hostPath mount,0,1,1.0
path=195255574/api=apps/v1/sock-shop/Deployment/user-load,High,Insecure capabilities,0,1,1.0
path=4193315459/api=apps/v1/monitoring/Deployment/prometheus-adapter,High,Writable hostPath mount,0,1,1.0
path=4193315459/api=apps/v1/monitoring/Deployment/prometheus-adapter,High,Insecure capabilities,0,1,1.0
path=2648664434/api=apps/v1/monitoring/Deployment/kube-state-metrics,High,Writable hostPath mount,0,1,1.0
path=2648664434/api=apps/v1/monitoring/Deployment/kube-state-metrics,High,Insecure capabilities,0,1,1.0
path=2740851957/api=apps/v1/kubeeye-system/Deployment/kubehunter,High,Writable hostPath mount,0,1,1.0
path=2740851957/api=apps/v1/kubeeye-system/Deployment/kubehunter,High,Insecure capabilities,0,1,1.0
path=4160733702/api=apps/v1//StatefulSet/nacos,High,Writable hostPath mount,0,1,1.0
path=4160733702/api=apps/v1//StatefulSet/nacos,High,Insecure capabilities,0,1,1.0
path=460799482/api=apps/v1//Deployment/argocd-repo-server,High,Writable hostPath mount,0,1,1.0
path=460799482/api=apps/v1//Deployment/argocd-repo-server,High,Insecure capabilities,0,1,1.0
path=392528998/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,High,Writable hostPath mount,1,1,0.0
path=392528998/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,High,Insecure capabilities,1,1,0.0
path=4109539435/api=apps/v1/litmus/Deployment/litmusportal-dex-server,High,Writable hostPath mount,0,1,1.0
path=4109539435/api=apps/v1/litmus/Deployment/litmusportal-dex-server,High,Insecure capabilities,0,1,1.0
path=4091300056/api=apps/v1/longhorn-system/Deployment/longhorn-ui,High,Writable hostPath mount,0,1,1.0
path=4091300056/api=apps/v1/longhorn-system/Deployment/longhorn-ui,High,Insecure capabilities,0,1,1.0
path=3008240948/api=apps/v1/system/Deployment/controller-manager,High,Writable hostPath mount,0,1,1.0
path=3008240948/api=apps/v1/system/Deployment/controller-manager,High,Insecure capabilities,0,1,1.0
path=3832730549/api=apps/v1//DaemonSet/longhorn-iscsi-installation,High,Writable hostPath mount,0,1,1.0
path=3832730549/api=apps/v1//DaemonSet/longhorn-iscsi-installation,High,Insecure capabilities,0,1,1.0
path=1854043660/api=apps/v1/monitoring/DaemonSet/node-exporter,High,Writable hostPath mount,1,1,0.0
path=1854043660/api=apps/v1/monitoring/DaemonSet/node-exporter,High,Insecure capabilities,0,1,1.0
path=221752153/api=apps/v1/kube-system/DaemonSet/csi-secrets-store,High,Writable hostPath mount,1,1,0.0
path=221752153/api=apps/v1/kube-system/DaemonSet/csi-secrets-store,High,Insecure capabilities,0,1,1.0
path=2936079902/api=apps/v1//Deployment/pgo,High,Writable hostPath mount,0,1,1.0
path=2936079902/api=apps/v1//Deployment/pgo,High,Insecure capabilities,0,1,1.0
path=1012505005/api=apps/v1/monitoring/Deployment/pyrra-kubernetes,High,Writable hostPath mount,0,1,1.0
path=1012505005/api=apps/v1/monitoring/Deployment/pyrra-kubernetes,High,Insecure capabilities,0,1,1.0
path=2496016146/api=apps/v1/sock-shop/Deployment/carts-db,High,Writable hostPath mount,0,1,1.0
path=2496016146/api=apps/v1/sock-shop/Deployment/carts-db,High,Insecure capabilities,0,1,1.0
path=3811780953/api=apps/v1/default/StatefulSet/nacos,High,Writable hostPath mount,0,1,1.0
path=3811780953/api=apps/v1/default/StatefulSet/nacos,High,Insecure capabilities,0,1,1.0
path=1944015087/api=apps/v1/longhorn-system/DaemonSet/longhorn-manager,High,Writable hostPath mount,1,1,0.0
path=1944015087/api=apps/v1/longhorn-system/DaemonSet/longhorn-manager,High,Insecure capabilities,0,1,1.0
path=2529254551/api=apps/v1/system/Deployment/kuberay-operator,High,Writable hostPath mount,0,1,1.0
path=2529254551/api=apps/v1/system/Deployment/kuberay-operator,High,Insecure capabilities,0,1,1.0
path=889509525/api=apps/v1/monitoring/Deployment/pyrra-kubernetes,High,Writable hostPath mount,0,1,1.0
path=889509525/api=apps/v1/monitoring/Deployment/pyrra-kubernetes,High,Insecure capabilities,0,1,1.0
path=2702657740/api=apps/v1/kanister/Deployment/kanister-operator,High,Writable hostPath mount,0,1,1.0
path=2702657740/api=apps/v1/kanister/Deployment/kanister-operator,High,Insecure capabilities,0,1,1.0
path=2472375410/api=apps/v1/sock-shop/Deployment/orders-db,High,Writable hostPath mount,0,1,1.0
path=2472375410/api=apps/v1/sock-shop/Deployment/orders-db,High,Insecure capabilities,0,1,1.0
path=634163964/api=batch/v1/longhorn-system/Job/longhorn-uninstall,High,Writable hostPath mount,0,1,1.0
path=634163964/api=batch/v1/longhorn-system/Job/longhorn-uninstall,High,Insecure capabilities,0,1,1.0
path=3916196672/api=apps/v1/sock-shop/Deployment/rabbitmq,High,Writable hostPath mount,0,1,1.0
path=3916196672/api=apps/v1/sock-shop/Deployment/rabbitmq,High,Insecure capabilities,0,1,1.0
path=1301123643/api=apps/v1/istio-system/Deployment/skywalking-oap,High,Writable hostPath mount,0,1,1.0
path=1301123643/api=apps/v1/istio-system/Deployment/skywalking-oap,High,Insecure capabilities,0,1,1.0
path=3375223410/api=apps/v1/istio-system/Deployment/zipkin,High,Writable hostPath mount,0,1,1.0
path=3375223410/api=apps/v1/istio-system/Deployment/zipkin,High,Insecure capabilities,0,1,1.0
path=1060993003/api=apps/v1//Deployment/details-v1,High,Writable hostPath mount,0,1,1.0
path=1060993003/api=apps/v1//Deployment/details-v1,High,Insecure capabilities,0,1,1.0
path=3997309033/api=apps/v1//Deployment/productpage-v1,High,Writable hostPath mount,0,1,1.0
path=3997309033/api=apps/v1//Deployment/productpage-v1,High,Insecure capabilities,0,1,1.0
path=3412339345/api=apps/v1/monitoring/Deployment/kube-state-metrics,High,Writable hostPath mount,0,1,1.0
path=3412339345/api=apps/v1/monitoring/Deployment/kube-state-metrics,High,Insecure capabilities,0,1,1.0
path=4066549551/api=apps/v1/kubeeye-system/Deployment/kubescape,High,Writable hostPath mount,0,1,1.0
path=4066549551/api=apps/v1/kubeeye-system/Deployment/kubescape,High,Insecure capabilities,0,1,1.0
path=808780096/api=apps/v1//Deployment/argocd-redis,High,Writable hostPath mount,0,1,1.0
path=808780096/api=apps/v1//Deployment/argocd-redis,High,Insecure capabilities,0,1,1.0
path=62200484/api=apps/v1//Deployment/argocd-redis-ha-haproxy,High,Writable hostPath mount,0,1,1.0
path=62200484/api=apps/v1//Deployment/argocd-redis-ha-haproxy,High,Insecure capabilities,0,1,1.0
path=960327289/api=apps/v1//Deployment/reviews-v1,High,Writable hostPath mount,0,1,1.0
path=960327289/api=apps/v1//Deployment/reviews-v1,High,Insecure capabilities,0,1,1.0
path=4287520481/api=apps/v1/default/Deployment/grafana-operator-controller-manager,High,Writable hostPath mount,0,1,1.0
path=4287520481/api=apps/v1/default/Deployment/grafana-operator-controller-manager,High,Insecure capabilities,0,1,1.0
